id,username,experience,approach,holding_period,assets_traded
1,trustingPonie5,Novice,Growth,Position Trader,Equities
2,dreadfulZebra2,Novice,Technical,Position Trader,"Bonds,Futures"
3,annoyedOwl0,Intermediate,Fundamental,Position Trader,"Forex,Bonds,Equities"
4,abjectVenison8,Experienced,Growth,Position Trader,"Futures,Equities,Options"
5,decimalGatorade0,Intermediate,Technical,Position Trader,Private Companies
6,vengefulLeopard4,Novice,Growth,Position Trader,"Futures,Bonds,Options"
7,euphoricCaribou6,Novice,Value,Position Trader,Equities
8,alertTruffle4,Experienced,Technical,Long Term Investor,"Bonds,Private Companies,Options"
9,unhappySalt0,Experienced,Fundamental,Day Trader,Futures
10,exactingRaisins1,Intermediate,Value,Day Trader,"Futures,Private Companies,Equities"
11,cynicalChamois2,Experienced,Growth,Position Trader,"Forex,Bonds"
12,soreTuna2,Intermediate,Fundamental,Day Trader,"Forex,Futures"
13,cruelBurritos2,Intermediate,Fundamental,Swing Trader,"Private Companies,Bonds,Futures"
14,cheerfulOtter8,Experienced,Technical,Position Trader,"Forex,Private Companies,Bonds"
15,grumpyMeerkat2,Intermediate,Value,Swing Trader,Forex
16,somberTermite8,Experienced,Growth,Swing Trader,"Private Companies,Bonds,Futures"
17,grumpyCheese5,Intermediate,Growth,Position Trader,"Equities,Futures,Forex"
18,obsessedIcecream9,Intermediate,Growth,Long Term Investor,Futures
19,humorousDinosaur3,Intermediate,Technical,Day Trader,"Equities,Forex,Private Companies"
20,morbidCow5,Novice,Value,Swing Trader,"Private Companies,Bonds,Equities"
21,pluckyCockatoo9,Novice,Growth,Position Trader,"Futures,Options"
22,wakefulWigeon4,Intermediate,Global Macro,Swing Trader,Bonds
23,euphoricShads6,Intermediate,Technical,Long Term Investor,Forex
24,puzzledMacaw8,Intermediate,Growth,Swing Trader,"Futures,Bonds,Equities"
25,shamefulOwl3,Experienced,Fundamental,Swing Trader,"Bonds,Forex,Futures"
26,exactingThrush9,Novice,Value,Day Trader,Equities
27,madCheetah3,Novice,Momentum,Swing Trader,"Forex,Options"
28,dearGnu5,Novice,Growth,Long Term Investor,Private Companies
29,chicMuesli5,Intermediate,Technical,Position Trader,"Forex,Private Companies,Bonds"
30,mildKitten0,Intermediate,Fundamental,Long Term Investor,Equities
31,gutturalPepper4,Novice,Global Macro,Swing Trader,"Equities,Futures,Options"
32,pluckyDove3,Novice,Global Macro,Position Trader,"Equities,Private Companies"
33,outlyingCaviar0,Experienced,Value,Long Term Investor,Private Companies
34,forsakenMacaw2,Experienced,Value,Swing Trader,"Bonds,Futures,Forex"
35,unhappyMuesli7,Intermediate,Momentum,Swing Trader,"Options,Equities"
36,gutturalSeafowl8,Intermediate,Value,Swing Trader,Equities
37,affectedSnail7,Intermediate,Growth,Swing Trader,Private Companies
38,yearningCod7,Novice,Value,Swing Trader,Options
39,needfulPonie7,Experienced,Value,Day Trader,"Private Companies,Bonds"
40,boastfulIcecream3,Intermediate,Momentum,Long Term Investor,Options
41,selfishPup8,Intermediate,Global Macro,Day Trader,"Private Companies,Equities"
42,importedShads9,Novice,Global Macro,Position Trader,"Options,Forex,Futures"
43,jealousHoopoe6,Novice,Growth,Long Term Investor,"Equities,Options"
44,grumpyZebra3,Experienced,Momentum,Position Trader,"Forex,Private Companies"
45,mildToucan0,Novice,Growth,Swing Trader,Options
46,somberSheep7,Novice,Fundamental,Day Trader,"Private Companies,Options"
47,worriedTuna0,Intermediate,Momentum,Swing Trader,Forex
48,morbidTomatoe5,Experienced,Fundamental,Long Term Investor,"Forex,Equities,Bonds"
49,vengefulMallard9,Novice,Momentum,Long Term Investor,"Equities,Options,Bonds"
50,betrayedCoconut7,Experienced,Value,Long Term Investor,"Forex,Equities,Bonds"
51,selfishSardines9,Experienced,Technical,Position Trader,"Forex,Options"
52,outlyingWildfowl7,Novice,Global Macro,Day Trader,Futures
53,euphoricLocust1,Experienced,Technical,Swing Trader,"Options,Equities,Futures"
54,thriftyHare1,Experienced,Growth,Position Trader,"Equities,Bonds"
55,wearyPretzels3,Intermediate,Technical,Long Term Investor,"Forex,Futures"
56,importedChowder3,Experienced,Technical,Day Trader,"Private Companies,Equities"
57,lyingCow1,Novice,Global Macro,Day Trader,"Equities,Futures,Options"
58,pridefulGarlic4,Novice,Value,Position Trader,"Options,Bonds,Private Companies"
59,blissfulTruffle0,Novice,Growth,Swing Trader,"Forex,Options,Equities"
60,grizzledJerky1,Intermediate,Technical,Long Term Investor,"Futures,Private Companies,Options"
61,shamefulRice2,Experienced,Value,Swing Trader,"Options,Forex,Futures"
62,humorousApricots3,Intermediate,Growth,Day Trader,"Futures,Equities"
63,lazyGarlic3,Intermediate,Fundamental,Long Term Investor,"Private Companies,Futures"
64,joyfulPolenta9,Intermediate,Value,Long Term Investor,"Futures,Forex"
65,dreadfulUnicorn7,Intermediate,Growth,Long Term Investor,"Equities,Private Companies"
66,wrathfulHoopoe5,Intermediate,Growth,Position Trader,Equities
67,worldlyBuck9,Intermediate,Momentum,Swing Trader,Futures
68,thriftyGranola8,Novice,Fundamental,Long Term Investor,"Bonds,Equities,Futures"
69,obsessedThrushe7,Novice,Fundamental,Position Trader,Bonds
70,joyfulFlamingo4,Experienced,Growth,Day Trader,"Options,Forex,Private Companies"
71,grudgingIcecream1,Intermediate,Global Macro,Long Term Investor,"Private Companies,Forex,Futures"
72,empathicMackerel6,Intermediate,Value,Long Term Investor,"Forex,Futures"
73,aboardSyrup1,Novice,Global Macro,Long Term Investor,Bonds
74,murkyBoars9,Novice,Fundamental,Day Trader,Options
75,sugaryDoughnut2,Intermediate,Growth,Long Term Investor,"Forex,Futures,Equities"
76,artisticMallard2,Experienced,Fundamental,Position Trader,Bonds
77,enragedOcelot3,Intermediate,Global Macro,Long Term Investor,"Forex,Private Companies,Options"
78,amazedWigeon8,Novice,Fundamental,Long Term Investor,"Private Companies,Forex"
79,affectedRat2,Novice,Technical,Swing Trader,"Private Companies,Bonds,Equities"
80,amazedMacaw8,Novice,Global Macro,Swing Trader,"Forex,Equities,Futures"
81,ardentMackerel1,Experienced,Growth,Long Term Investor,"Forex,Options"
82,pitifulPaella4,Intermediate,Momentum,Swing Trader,"Bonds,Forex,Equities"
83,mellowPretzels6,Experienced,Value,Day Trader,"Forex,Options"
84,superiorCamel0,Intermediate,Global Macro,Swing Trader,"Bonds,Equities,Options"
85,zestyCockatoo0,Novice,Fundamental,Long Term Investor,"Equities,Futures,Forex"
86,abjectCaribou1,Novice,Global Macro,Day Trader,"Options,Private Companies"
87,sincereRat1,Experienced,Technical,Long Term Investor,"Forex,Equities,Bonds"
88,insecureLollies7,Experienced,Momentum,Swing Trader,"Bonds,Equities,Private Companies"
89,goofyPaella4,Novice,Technical,Swing Trader,"Equities,Forex,Bonds"
90,finickyBurritos4,Experienced,Technical,Day Trader,Futures
91,wakefulTomatoe1,Novice,Technical,Long Term Investor,Options
92,wakefulLollies4,Novice,Momentum,Day Trader,"Forex,Options,Bonds"
93,outlyingWasp5,Experienced,Fundamental,Day Trader,Forex
94,cockyPlover4,Novice,Fundamental,Day Trader,"Options,Futures"
95,insecureMallard5,Experienced,Growth,Position Trader,"Equities,Bonds"
96,mercifulFlamingo9,Novice,Fundamental,Long Term Investor,Options
97,insecureCurlew4,Experienced,Technical,Day Trader,"Equities,Options"
98,tautSwift5,Intermediate,Technical,Long Term Investor,"Bonds,Forex"
99,drearyLapwing2,Experienced,Momentum,Day Trader,Futures
