id,slug,topics
1,Help,Non-Market Talk
2,Stocktwits,Long Term Investing
3,AskJustin,Non-Market Talk
4,MarketConspiracies,Education
5,quantnews,Quant
6,trupunx,"Long Term Investing,Non-Market Talk,Green Energy"
7,FinTech,"Technology,Fundamentals"
8,DataAndAI,"Education,Quant,Non-Market Talk"
9,SmarterThantheAverageBear,"Day Trading,Swing Trading,Education"
10,jamtrades,"Swing Trading,Momentum Trading"
11,Tradealike,"Day Trading,Swing Trading,Technicals"
12,crypto,Cryptocurrencies
13,greattraders,"Swing Trading,Biotechnology,Technicals"
14,profitmissioncontrol,"Day Trading,Momentum Trading,Education"
15,Insider,"Futures,Cryptocurrencies,Day Trading"
16,greenblatt_piotroski,"Long Term Investing,Fundamentals,Personal Finance"
17,technology,Technology
18,Charts,"Education,Technicals"
19,magicformula,"Long Term Investing,Fundamentals,Personal Finance"
20,etf,ETFs
21,UnitedTraders,"Day Trading,Swing Trading,Momentum Trading"
22,serious,"Options,Swing Trading,Technicals"
23,robin,"Swing Trading,Education"
24,hodl,"Cryptocurrencies,Technology,Technicals"
25,theCatalyst,"Day Trading,Momentum Trading,Education"
26,Blockchain,Technology
27,otc,Swing Trading
28,TheWhiteRabbit,"Day Trading,Momentum Trading,Non-Market Talk"
29,robinhood,"Day Trading,Long Term Investing,Technology"
30,TradersMindset,Day Trading
31,villatrades,"Futures,Options,Technicals"
32,money,"Long Term Investing,Momentum Trading,Fundamentals"
33,wallstreetbets,"Education,Non-Market Talk,News"
34,TWR,"Day Trading,Momentum Trading,Non-Market Talk"
35,cryptocurrency,"Cryptocurrencies,Technology,News"
36,trojanhorse,Cryptocurrencies
37,todaysMomentum,Momentum Trading
38,daytrading,Day Trading
39,the_president_did_what,News
40,Rabbit,"Day Trading,Non-Market Talk"
41,noob,Day Trading
42,ESF,"Futures,Day Trading"
43,FrogsNDucksAllNightBar,Non-Market Talk
44,jimcramer,Equities
45,cramer,Education
46,warrenbuffet,Equities
47,Atlas_Trading,Day Trading
48,politics,"Education,Non-Market Talk,News"
49,noremacnewelltrading,Day Trading
50,biotechbulls,Biotechnology
51,TheBigStack,"Global Macro,Technology,News"
52,nadex,"Options,Day Trading,Education"
53,News,"Non-Market Talk,News"
54,ESfutures,Futures
55,_camtheman,Day Trading
56,camtheman_,Day Trading
57,camthescam,Day Trading
58,OTMFEVER,Equities
59,ascendtrading,Day Trading
60,rulesofthumb,Education
61,MomoTrading,Momentum Trading
62,SharkTrading,Technicals
63,Cryptocoins,Cryptocurrencies
64,BearBashingOnly,Non-Market Talk
65,cvsi,"Swing Trading,Momentum Trading,Equities"
66,themarketisopen,News
67,CrackedMarket,"Swing Trading,Education,ETFs"
68,wallstr,"Cryptocurrencies,Options,Day Trading"
69,wallstreet,"Cryptocurrencies,Day Trading,Swing Trading"
70,beatthebulls,"Options,Equities,Non-Market Talk"
71,PennyStocks,Day Trading
72,KillerCalls,"Day Trading,Momentum Trading"
73,Ovacho,"Day Trading,Swing Trading,Education"
74,MonsterCalls,Swing Trading
75,RomperRoom,"Long Term Investing,Personal Finance"
76,derivativedge,"Options,Swing Trading,Equities"
77,JordanBelfort,Education
78,bio_runup,"Day Trading,Swing Trading,Biotechnology"
79,swingtraders,Swing Trading
80,atlastrading_furu,"Day Trading,Education"
81,StockMarket,Global Macro
82,quantum,"Day Trading,Swing Trading,Momentum Trading"
83,day_trading,Day Trading
84,KillerTrades,"Options,Day Trading,Momentum Trading"
85,atlas_furu_trading,Day Trading
86,ShortRoom,Day Trading
87,robinhood_penny_stocks,Day Trading
88,tradesmartstocks,"Day Trading,Momentum Trading"
89,tradesmart_stocks,"Day Trading,Biotechnology"
90,trade_smart_stocks,Day Trading
91,wsb,"Day Trading,Technology,Biotechnology"
92,SmallCaps,Technicals
93,ripple,Cryptocurrencies
94,SmallCapWorld,Day Trading
95,greatinvestmentideas,"Swing Trading,Personal Finance"
96,TheMagician,Momentum Trading
97,xrp,Cryptocurrencies
98,Discord,Day Trading
99,penny_stocks,Day Trading
100,Poetcoin,Cryptocurrencies
101,KillerTrading,"Day Trading,Education,Equities"
102,allstartrading,Day Trading
103,AllStartTrading,Day Trading
104,all_star_trading,"Day Trading,Education"
105,poloniexmargintrading,Cryptocurrencies
106,cryptoheads,Cryptocurrencies
107,YecoValleyFire,Day Trading
108,Ripple_XRP,Cryptocurrencies
109,BTC_ETF,Cryptocurrencies
110,Stock_Twits,Day Trading
111,btcx,Cryptocurrencies
112,XRPX,Cryptocurrencies
113,SniperTrading,"Day Trading,Momentum Trading"
114,WorldEquities,"Equities,Fundamentals"
115,CameronNewellTrading,Day Trading
116,TrendTrading,"Global Macro,Technicals"
117,RippleXRP,Cryptocurrencies
118,futures,Futures
119,MichaelBozo,Day Trading
120,Trading,Education
121,leveragedetfs,"Options,Day Trading,ETFs"
122,investheory,"Options,Day Trading,Swing Trading"
123,Options,Options
124,Value_Momentum_Traders,"Futures,Long Term Investing,Equities"
125,Short,"Day Trading,Swing Trading"
126,Education,Education
127,Nasdaq,Long Term Investing
128,TDAmeritrade,Long Term Investing
129,GoldmanSachs,Long Term Investing
130,ETFs,ETFs
131,surinotes,"Futures,Swing Trading,Quant"
132,CharlesSchwab,Personal Finance
133,Fidelity,Personal Finance
134,cryptoclub,Cryptocurrencies
135,MerrilLynch,Personal Finance
136,The_illusionist,Day Trading
137,itsallaboutheoptions_sms,"Cryptocurrencies,Options,Technicals"
138,Stock_Market,Global Macro
139,Small_Caps,Day Trading
140,Traders_for_Charity,"Day Trading,Swing Trading"
141,Biotech,"Day Trading,Swing Trading,Biotechnology"
142,Biotechnology,Biotechnology
143,trading4living,"Day Trading,Momentum Trading,Technicals"
144,stockmarkets,Long Term Investing
145,psinvestments,"Day Trading,Swing Trading,Momentum Trading"
146,itsallaboutheoptions_chat,"Options,Day Trading,Education"
147,howietown,"Long Term Investing,Momentum Trading,Technology"
148,itsallaboutheoptions_faq,Options
149,StockMarketInvesting,"Long Term Investing,Education,Technicals"
150,techoptions,"Options,Technology"
151,itsallaboutheoptions_flow,Options
152,Tradewithzeus,Day Trading
153,Wolfofwallstreet,"Cryptocurrencies,Day Trading,Swing Trading"
154,itsallaboutheoptions_,"Options,Technology"
155,AI_Trading,"Options,Technology"
156,toTheMUon,"Options,Technicals"
157,Jalen,Equities
158,JalenJ,Day Trading
159,BitcoinBling,"Cryptocurrencies,Long Term Investing"
160,healthcare,"Long Term Investing,Technology,Biotechnology"
161,stratosphere,"Swing Trading,Momentum Trading"
162,axecapital,Technicals
163,altcoins,Cryptocurrencies
164,Liverpool,"Swing Trading,Fundamentals,Technicals"
165,coinbase,Cryptocurrencies
166,altcoin,"Cryptocurrencies,Education,Technology"
167,optionsyacht,"Futures,Options,Day Trading"
168,Effective_Investing,"Options,Day Trading,Swing Trading"
169,thegifhub,Non-Market Talk
170,prometheus,Equities
171,snap,Cryptocurrencies
